CustomerID,Customer_Segment,Age,Gender,Job_Category,Annual_Income,Marital_Status,Product,Quantity,Unit_Price,Discount_Applied,Payment_Method,Revenue,Customer_Lifetime_Value,Profit_Margin,Loyalty_Score,Loyalty_Tier,Customer_Satisfaction,Purchase_Frequency,Days_Since_Last_Purchase,Purchase_Date,Purchase_Hour,Season,Days_to_Next_Purchase,Payment_Delay_Days,First_Purchase_Channel,Net_Revenue,Revenue_per_Unit,Age_Group,Revenue_Tier,Purchase_Month,Purchase_Quarter,Purchase_Year
C00038,New,18,Female,Education,107997,Single,Product_C,2,54.17,0.148,Digital Wallet,1795,18103,0.475,23.3,Bronze,1.3,2,45,09-06-2023,12,Spring,102,3,Store,1529.34,897.5,18-30,High,6,2,2023
C00039,Regular,22,Female,Retail,89314,Married,Product_E,2,36.25,0.24,Digital Wallet,2925,77712,0.123,60.8,Gold,5,1,65,09-08-2023,13,Spring,23,0,App,2223,1462.5,18-30,Premium,8,3,2023
C00040,New,44,Male,Finance,40642,Single,Product_A,3,103.99,0.365,Digital Wallet,223,12240,0.096,15.3,Bronze,1,2,15,11-12-2023,18,Fall,33,0,App,141.605,74.33,31-45,Low,12,4,2023
C00041,Regular,53,Female,Retail,25000,Single,Product_A,4,79.61,0.195,Bank Transfer,3761,17028,0.495,56.9,Gold,4.2,2,15,15-04-2023,13,Fall,34,2,App,3027.605,940.25,46-60,Premium,4,2,2023
C00042,Regular,44,Female,Education,25000,Single,Product_B,3,16.09,0.043,Credit Card,1446,9402,0.7,25.1,Silver,2.9,7,10,05-04-2023,13,Winter,25,5,Online,1383.822,482,31-45,High,4,2,2023
C00043,VIP,40,Male,Other,32373,Married,Product_E,1,13.1,0.21,PayPal,654,1426,0.564,3.6,Bronze,1,2,35,25-01-2024,16,Winter,32,0,Online,516.66,654,31-45,Medium,1,1,2024
C00044,Regular,37,Male,Education,25456,Married,Product_D,1,173.39,0.187,Bank Transfer,941,9896,0.581,29.6,Silver,1.8,6,73,10-04-2023,15,Summer,86,6,Store,765.033,941,31-45,High,4,2,2023
C00045,Regular,19,Female,Retail,125328,Single,Product_E,4,59.84,0.08,Bank Transfer,1051,13737,0.228,10.3,Bronze,1.1,12,34,03-01-2024,16,Spring,12,3,Online,966.92,262.75,18-30,High,1,1,2024
C00046,Regular,31,Male,Education,44543,Divorced,Product_D,2,55.95,0.319,Bank Transfer,3160,24675,0.559,30.7,Silver,3.2,1,88,19-12-2023,17,Winter,70,2,Online,2151.96,1580,31-45,Premium,12,4,2023
C00047,New,35,Female,Manufacturing,87259,Single,Product_C,3,61.21,0.213,Bank Transfer,899,72380,0.503,43.3,Silver,3.4,7,8,10-09-2024,7,Winter,53,0,Online,707.513,299.67,31-45,Medium,9,3,2024
C00048,Regular,57,Female,Other,49072,Married,Product_C,1,107.84,0.155,Bank Transfer,574,2538,0.375,7,Bronze,1,1,21,28-09-2023,16,Fall,5,3,Store,485.03,574,46-60,Medium,9,3,2023
C00049,Regular,47,Male,Manufacturing,26661,Married,Product_E,1,72.1,0.103,PayPal,445,15644,0.472,66.1,Gold,3.8,6,10,14-02-2023,17,Fall,20,2,Store,399.165,445,46-60,Medium,2,1,2023
C00050,New,18,Male,Finance,70585,Divorced,Product_C,2,55.53,0.11,Bank Transfer,872,29456,0.06,30.9,Silver,2.9,11,4,15-04-2024,15,Winter,11,13,App,776.08,436,18-30,Medium,4,2,2024
C00051,Regular,46,Female,Finance,25000,Divorced,Product_C,4,15.58,0.077,PayPal,2290,5135,0.513,30,Silver,2.2,6,5,03-07-2024,12,Spring,26,3,Online,2113.67,572.5,46-60,Premium,7,3,2024
C00052,Regular,36,Female,Education,140500,Married,Product_B,1,18.94,0.18,PayPal,170,89345,0.042,37.5,Silver,2.9,1,0,08-05-2023,18,Spring,40,0,Store,139.4,170,31-45,Low,5,2,2023
C00053,Regular,31,Female,Education,25000,Single,Product_B,1,105.79,0.104,Credit Card,1319,16792,0.269,38.6,Silver,3,3,62,23-01-2024,20,Winter,40,3,App,1181.824,1319,31-45,High,1,1,2024
C00054,Regular,51,Female,Other,154858,Divorced,Product_E,4,19.08,0.376,Bank Transfer,207,17100,0.304,6.9,Bronze,1,3,13,22-03-2023,18,Fall,40,3,Online,129.168,51.75,46-60,Low,3,1,2023
C00055,New,57,Male,Education,138747,Married,Product_D,1,77.17,0.318,Credit Card,100,3797,0.017,4.2,Bronze,1,2,74,19-07-2024,19,Fall,27,10,Online,68.2,100,46-60,Low,7,3,2024
C00056,VIP,55,Male,Retail,92226,Married,Product_E,2,150.32,0.024,Credit Card,3625,36859,0.301,22.5,Bronze,2.8,5,84,28-10-2023,8,Spring,180,2,Phone,3538,1812.5,46-60,Premium,10,4,2023
C00057,VIP,29,Male,Retail,74683,Married,Product_C,1,92.02,0.282,Credit Card,877,7993,0.428,16.3,Bronze,1.3,5,2,05-10-2024,11,Summer,32,1,App,629.686,877,18-30,Medium,10,4,2024
C00058,VIP,37,Male,Finance,88152,Single,Product_D,1,480.28,0.064,Bank Transfer,1519,19713,0.312,25.8,Silver,2.9,2,45,25-09-2024,13,Summer,14,2,Store,1421.784,1519,31-45,High,9,3,2024
C00059,VIP,46,Non-binary,Other,42680,Married,Product_E,2,17.92,0.132,Credit Card,2472,4779,0.145,16.6,Bronze,2.4,4,27,06-01-2024,11,Winter,25,0,Online,2145.696,1236,46-60,Premium,1,1,2024
C00060,VIP,56,Female,IT,65321,Married,Product_C,1,53.21,0.257,PayPal,2959,25270,0.635,32.4,Silver,3.3,3,10,14-08-2024,12,Fall,25,0,Store,2198.537,2959,46-60,Premium,8,3,2024
C00061,Regular,34,Non-binary,Finance,76705,Divorced,Product_A,1,35.24,0.286,PayPal,1146,16873,0.253,19.4,Bronze,1.2,5,20,16-07-2023,10,Fall,76,8,Online,818.244,1146,31-45,High,7,3,2023
C00062,New,39,Male,Manufacturing,43124,Married,Product_C,1,107.91,0.151,PayPal,333,12289,0.526,42.7,Silver,3,3,32,22-12-2024,13,Fall,180,1,Store,282.717,333,31-45,Low,12,4,2024
C00063,Regular,25,Male,Finance,50779,Single,Product_B,1,47.73,0.2,Digital Wallet,265,17055,0.36,37.7,Silver,1,1,97,13-03-2023,19,Spring,54,10,App,212,265,18-30,Low,3,1,2023
C00064,VIP,24,Female,Healthcare,76695,Married,Product_B,1,115.85,0.255,Digital Wallet,1147,12552,0.159,11.8,Bronze,1.1,5,3,16-02-2023,19,Winter,71,0,Store,854.515,1147,18-30,High,2,1,2023
C00065,New,54,Female,Retail,32680,Widowed,Product_C,1,79.03,0.444,PayPal,217,14703,0.614,59,Gold,2.7,9,32,08-11-2024,19,Spring,12,5,Online,120.652,217,46-60,Low,11,4,2024
C00066,Regular,62,Female,Retail,88382,Single,Product_C,5,53.73,0.182,PayPal,211,4706,0.301,9.1,Bronze,1.1,1,34,22-08-2023,18,Fall,7,0,Online,172.598,42.2,60+,Low,8,3,2023
C00067,New,40,Female,Education,43435,Married,Product_C,5,39.01,0.532,Credit Card,518,4087,0.278,7.6,Bronze,1,2,4,24-10-2023,18,Fall,102,0,Online,242.424,103.6,31-45,Medium,10,4,2023
C00068,New,57,Female,Other,64056,Married,Product_E,4,97.59,0.104,PayPal,2545,45116,0.317,39,Silver,3.4,7,22,23-03-2023,15,Winter,38,11,App,2280.32,636.25,46-60,Premium,3,1,2023
C00069,Regular,47,Female,Retail,37836,Married,Product_B,1,196.89,0.231,Bank Transfer,143,19576,0.883,42.8,Silver,2.7,12,1,27-08-2023,14,Winter,25,17,Online,109.967,143,46-60,Low,8,3,2023
C00070,Regular,32,Male,Retail,131227,Single,Product_C,1,51.77,0.142,Credit Card,2237,117350,0.733,45.2,Silver,3.7,2,32,14-04-2023,15,Summer,10,3,Online,1919.346,2237,31-45,Premium,4,2,2023
C00071,Regular,47,Female,Other,25000,Single,Product_E,2,74.5,0.087,Bank Transfer,2661,10731,0.805,31.6,Silver,3.5,3,60,25-01-2024,10,Winter,45,10,Online,2429.493,1330.5,46-60,Premium,1,1,2024
C00072,VIP,65,Male,Healthcare,25000,Married,Product_D,1,34.34,0.148,PayPal,2823,11124,0.088,29.1,Silver,2.1,3,17,12-10-2023,16,Winter,17,0,Store,2405.196,2823,60+,Premium,10,4,2023
C00073,New,41,Female,Healthcare,102057,Divorced,Product_B,2,320.35,0.146,Bank Transfer,255,35819,0.606,17.8,Bronze,1,1,16,09-04-2024,9,Spring,17,8,Online,217.77,127.5,31-45,Low,4,2,2024
C00074,VIP,65,Female,Other,109042,Single,Product_C,1,38.78,0.373,Bank Transfer,100,36482,0.142,26.2,Silver,1,1,3,12-10-2024,16,Summer,26,5,Online,62.7,100,60+,Low,10,4,2024
C00075,Regular,18,Female,Other,82186,Divorced,Product_D,1,31.94,0.024,Bank Transfer,2289,62014,0.519,70.3,Gold,5,3,26,09-01-2024,15,Spring,9,4,Online,2234.064,2289,18-30,Premium,1,1,2024
C00076,Regular,54,Female,Education,46029,Widowed,Product_B,6,50.69,0.177,Credit Card,319,7326,0.474,9.6,Bronze,1,11,135,16-06-2023,8,Spring,13,4,Store,262.537,53.17,46-60,Low,6,2,2023
C00077,Regular,43,Male,IT,40332,Married,Product_B,2,42.67,0.28,Digital Wallet,2810,21879,0.526,30.8,Silver,3.2,3,10,15-01-2024,11,Fall,43,6,Online,2023.2,1405,31-45,Premium,1,1,2024
C00078,Regular,37,Female,IT,43394,Married,Product_A,1,12.95,0.189,Bank Transfer,112,8336,0.199,10.1,Bronze,1.7,2,29,30-12-2023,13,Summer,26,3,App,90.832,112,31-45,Low,12,4,2023
C00079,New,43,Male,Retail,95909,Married,Product_E,2,78.94,0.147,PayPal,3183,55345,0.52,74.8,Gold,4.8,9,22,03-08-2023,18,Summer,21,1,Store,2715.099,1591.5,31-45,Premium,8,3,2023
C00080,Regular,18,Female,Healthcare,84618,Divorced,Product_B,1,135.48,0.055,PayPal,428,4577,0.793,8.8,Bronze,1,3,23,17-11-2024,5,Fall,106,0,Store,404.46,428,18-30,Medium,11,4,2024
C00081,Regular,38,Female,Finance,25000,Single,Product_A,4,11.64,0.134,PayPal,2682,28321,0.737,61.2,Gold,5,6,83,01-10-2023,16,Winter,119,6,Online,2322.612,670.5,31-45,Premium,10,4,2023
C00082,New,47,Male,Finance,72179,Single,Product_A,4,72.53,0.268,Credit Card,720,25093,0.214,33.9,Silver,3.3,7,22,19-12-2024,20,Fall,2,1,Store,527.04,180,46-60,Medium,12,4,2024
C00083,Regular,64,Male,Manufacturing,25000,Single,Product_B,1,38.08,0.33,PayPal,924,13023,0.192,41.7,Silver,3,1,40,30-11-2024,11,Summer,49,7,Online,619.08,924,60+,Medium,11,4,2024
C00084,New,34,Male,Finance,26892,Married,Product_E,3,127.9,0.128,PayPal,1015,4993,0.539,32.2,Silver,1.1,2,31,25-10-2024,10,Winter,23,0,Online,885.08,338.33,31-45,High,10,4,2024
C00085,Regular,29,Female,Healthcare,25000,Widowed,Product_D,1,98.61,0.481,Bank Transfer,1054,13092,0.326,41.3,Silver,2.1,2,21,15-03-2023,12,Fall,64,4,Online,547.026,1054,18-30,High,3,1,2023
C00086,Regular,34,Female,Healthcare,111402,Single,Product_D,1,164.61,0.159,Bank Transfer,526,45562,0.475,44.3,Silver,2.5,2,0,15-09-2024,18,Winter,18,7,Online,442.366,526,31-45,Medium,9,3,2024
C00087,Regular,55,Male,Healthcare,25000,Married,Product_B,1,111.28,0.168,Credit Card,2114,3957,0.159,18.4,Bronze,2.9,1,5,12-10-2024,14,Winter,180,4,Online,1758.848,2114,46-60,Premium,10,4,2024
C00088,Regular,46,Male,IT,25000,Married,Product_C,6,10,0.284,Digital Wallet,1360,24511,0.514,50,Gold,3.2,11,150,25-06-2023,11,Winter,1,2,Online,973.76,226.67,46-60,High,6,2,2023
C00089,VIP,34,Male,Healthcare,25292,Single,Product_B,1,94.01,0.119,Bank Transfer,4418,11210,0.51,26.4,Silver,2.8,4,21,30-06-2024,16,Summer,37,0,Online,3892.258,4418,31-45,Premium,6,2,2024
C00090,Regular,49,Male,Education,166329,Single,Product_E,1,22.83,0.429,PayPal,881,34293,0.285,12.8,Bronze,1,4,12,08-09-2023,7,Fall,46,4,Store,503.051,881,46-60,Medium,9,3,2023
C00091,Regular,43,Female,Finance,34160,Widowed,Product_D,3,192.6,0.058,Credit Card,856,8278,0.615,32.5,Silver,2.7,2,4,17-06-2023,8,Summer,66,3,Online,806.352,285.33,31-45,Medium,6,2,2023
C00092,New,56,Male,Finance,31036,Married,Product_C,3,60.25,0.319,PayPal,340,4155,0.759,24,Bronze,1.6,5,1,18-04-2024,13,Fall,21,0,Store,231.54,113.33,46-60,Low,4,2,2024
C00093,VIP,31,Female,IT,95620,Single,Product_A,1,99.16,0.113,PayPal,560,6712,0.604,5.1,Bronze,1,5,12,24-01-2024,17,Spring,33,4,Online,496.72,560,31-45,Medium,1,1,2024
C00094,Regular,37,Male,IT,50848,Single,Product_D,1,19.56,0.094,Credit Card,296,9221,0.096,10.3,Bronze,1,1,5,04-10-2023,15,Winter,10,2,Store,268.176,296,31-45,Low,10,4,2023
C00095,New,36,Male,Education,83040,Widowed,Product_D,2,50.57,0.219,Credit Card,375,1571,0.354,3.7,Bronze,1,12,21,17-10-2024,14,Winter,11,1,Online,292.875,187.5,31-45,Low,10,4,2024
C00096,VIP,20,Male,Manufacturing,25000,Widowed,Product_D,1,108.57,0.579,PayPal,2442,9477,0.467,21,Bronze,2.8,12,104,05-12-2024,14,Fall,10,23,Store,1028.082,2442,18-30,Premium,12,4,2024
C00097,New,46,Male,Finance,29316,Single,Product_A,2,52.17,0.242,Bank Transfer,2397,13221,0.077,37.7,Silver,3.1,3,24,24-07-2024,11,Fall,45,2,Store,1816.926,1198.5,46-60,Premium,7,3,2024
C00098,Regular,45,Female,Retail,115665,Single,Product_C,1,37.66,0.101,PayPal,5098,85498,0.55,50.6,Gold,5,8,0,13-08-2023,20,Spring,6,7,Phone,4583.102,5098,31-45,Premium,8,3,2023
C00099,VIP,42,Female,Healthcare,123241,Married,Product_D,1,115.49,0.145,PayPal,2048,17669,0.572,27.4,Silver,2.3,2,24,02-12-2024,9,Fall,1,10,Online,1751.04,2048,31-45,Premium,12,4,2024
C00100,VIP,38,Female,IT,110048,Married,Product_A,4,104.97,0.134,Digital Wallet,1734,54349,0.393,28.2,Silver,2.5,10,17,29-11-2023,20,Winter,19,9,Online,1501.644,433.5,31-45,High,11,4,2023
C00101,VIP,20,Male,Healthcare,58183,Married,Product_B,3,46.29,0.033,Credit Card,10000,48956,0.348,54.6,Gold,5,1,29,27-02-2023,15,Summer,20,3,Phone,9670,3333.33,18-30,Premium,2,1,2023
C00102,New,35,Female,Retail,53578,Married,Product_C,1,75.04,0.158,Credit Card,530,5081,0.193,9.9,Bronze,1,1,39,23-08-2023,10,Spring,59,9,Online,446.26,530,31-45,Medium,8,3,2023
C00103,New,36,Male,Retail,38555,Married,Product_E,3,45.3,0.264,Bank Transfer,199,13140,0.45,18,Bronze,1.5,5,0,02-02-2023,12,Fall,10,0,Store,146.464,66.33,31-45,Low,2,1,2023
C00104,New,29,Female,Other,56540,Single,Product_A,4,99.02,0.166,Bank Transfer,320,30982,0.155,27.8,Silver,1,6,33,20-11-2023,5,Spring,10,4,App,266.88,80,18-30,Low,11,4,2023
C00105,VIP,39,Female,Retail,65238,Married,Product_C,2,158.53,0.15,Credit Card,10000,34472,0.16,53.7,Gold,5,12,5,15-02-2024,14,Winter,103,13,Online,8500,5000,31-45,Premium,2,1,2024
C00106,New,48,Male,Manufacturing,89026,Single,Product_C,3,71.61,0.166,Bank Transfer,904,25306,0.603,33.1,Silver,1.2,6,4,02-10-2023,13,Spring,38,5,Online,753.936,301.33,46-60,Medium,10,4,2023
C00107,VIP,70,Non-binary,IT,57327,Divorced,Product_A,2,82.85,0.336,Credit Card,1759,4149,0.582,13.5,Bronze,1.7,4,42,09-03-2023,16,Spring,45,9,Online,1167.976,879.5,60+,High,3,1,2023
C00108,VIP,44,Male,IT,25000,Married,Product_B,1,83.79,0.517,Bank Transfer,3157,2681,0.602,19.6,Bronze,3,11,130,05-08-2023,19,Spring,75,8,App,1524.831,3157,31-45,Premium,8,3,2023
C00109,New,45,Non-binary,Finance,40284,Married,Product_A,2,75.43,0.364,PayPal,1084,13882,0.613,40.3,Silver,1.5,3,2,03-08-2024,16,Fall,43,0,Online,689.424,542,31-45,High,8,3,2024
C00110,VIP,40,Female,Healthcare,25000,Single,Product_C,1,25.29,0.238,Credit Card,1818,3028,0.786,14.3,Bronze,1.3,8,32,19-11-2023,15,Fall,34,3,Store,1385.316,1818,31-45,High,11,4,2023
C00111,Regular,18,Female,Healthcare,129035,Single,Product_A,5,45.98,0.417,PayPal,1509,21309,0.306,20.1,Bronze,1.9,6,5,06-08-2023,13,Spring,101,7,Store,879.747,301.8,18-30,High,8,3,2023
C00112,Regular,41,Male,IT,25000,Married,Product_E,1,46.92,0.135,PayPal,266,3592,0.384,8.6,Bronze,1,12,10,02-11-2024,14,Spring,2,5,Online,230.09,266,31-45,Low,11,4,2024
C00113,Regular,42,Female,Education,116339,Single,Product_B,3,93.24,0.074,Credit Card,3101,43289,0.428,40.1,Silver,3.6,5,33,26-05-2024,12,Fall,33,14,Phone,2871.526,1033.67,31-45,Premium,5,2,2024
C00114,Regular,78,Female,Retail,58792,Single,Product_C,4,191.88,0.252,Credit Card,2417,23294,0.349,28.6,Silver,2.6,7,35,10-02-2024,11,Fall,17,3,Online,1807.916,604.25,60+,Premium,2,1,2024
C00115,New,39,Male,Other,69689,Married,Product_E,1,88.18,0.413,Bank Transfer,162,6733,0.138,9.7,Bronze,1,1,24,20-10-2024,11,Fall,34,1,Store,95.094,162,31-45,Low,10,4,2024
C00116,Regular,46,Male,Education,69750,Single,Product_B,2,32.55,0.145,PayPal,137,1756,0.34,4.2,Bronze,1,4,3,14-04-2024,12,Summer,2,1,App,117.135,68.5,46-60,Low,4,2,2024
C00117,New,41,Female,IT,37276,Married,Product_A,1,31.21,0.138,Credit Card,771,21245,0.649,35.8,Silver,2.8,1,48,27-05-2023,11,Summer,21,0,Store,664.602,771,31-45,Medium,5,2,2023
C00118,Regular,24,Female,Other,25000,Married,Product_C,1,23.25,0.149,PayPal,10000,9707,0.064,73.7,Gold,5,4,102,29-09-2023,14,Winter,5,4,App,8510,10000,18-30,Premium,9,3,2023
C00119,New,59,Female,Healthcare,69950,Married,Product_E,1,18.68,0.238,Bank Transfer,259,18414,0.7,14.7,Bronze,1,1,33,23-05-2023,15,Spring,10,1,App,197.358,259,46-60,Low,5,2,2023
C00120,New,53,Male,Other,82168,Widowed,Product_B,2,10,0.08,Credit Card,2206,20513,0.004,43.9,Silver,3.3,5,38,10-09-2023,14,Summer,60,0,Online,2029.52,1103,46-60,Premium,9,3,2023
C00121,Regular,53,Female,Manufacturing,41341,Widowed,Product_E,2,44.27,0.219,Credit Card,619,11778,0.272,23.5,Bronze,1.5,10,34,28-07-2024,16,Summer,62,3,App,483.439,309.5,46-60,Medium,7,3,2024
